ID	市县（英文）	市县（中文）	地区	省/直辖市
101042600	dazu	大足	重庆	重庆
101042700	rongchang	荣昌	重庆	重庆
101042800	tongliang	铜梁	重庆	重庆
101042900	bishan	璧山	重庆	重庆
101043000	fengdu	丰都	重庆	重庆
101043100	wulong	武隆	重庆	重庆
101043200	pengshui	彭水	重庆	重庆
101043300	qijiang	綦江	重庆	重庆
101043400	youyang	酉阳	重庆	重庆
101043600	xiushan	秀山	重庆	重庆
101050101	haerbin	哈尔滨	哈尔滨	黑龙江
101050102	shuangcheng	双城	哈尔滨	黑龙江
101050103	hulan	呼兰	哈尔滨	黑龙江
101050104	acheng	阿城	哈尔滨	黑龙江
101050105	binxian	宾县	哈尔滨	黑龙江
101050106	yilan	依兰	哈尔滨	黑龙江
101050107	bayan	巴彦	哈尔滨	黑龙江
101050108	tonghe	通河	哈尔滨	黑龙江
101050109	fangzheng	方正	哈尔滨	黑龙江
101050110	yanshou	延寿	哈尔滨	黑龙江
101050111	shangzhi	尚志	哈尔滨	黑龙江
101050112	wuchang	五常	哈尔滨	黑龙江
101050113	mulan	木兰	哈尔滨	黑龙江
101050201	qiqihaer	齐齐哈尔	齐齐哈尔	黑龙江
101050202	nehe	讷河	齐齐哈尔	黑龙江
101050203	longjiang	龙江	齐齐哈尔	黑龙江
101050204	gannan	甘南	齐齐哈尔	黑龙江
101050205	fuyu	富裕	齐齐哈尔	黑龙江
101050206	yian	依安	齐齐哈尔	黑龙江
101050207	baiquan	拜泉	齐齐哈尔	黑龙江
101050208	keshan	克山	齐齐哈尔	黑龙江
101050209	kedong	克东	齐齐哈尔	黑龙江
101050210	tailai	泰来	齐齐哈尔	黑龙江
101050301	mudanjiang	牡丹江	牡丹江	黑龙江
101050302	hailin	海林	牡丹江	黑龙江
101050303	muling	穆棱	牡丹江	黑龙江
101050304	linkou	林口	牡丹江	黑龙江
101050305	suifenhe	绥芬河	牡丹江	黑龙江
101050306	ningan	宁安	牡丹江	黑龙江
101050307	dongning	东宁	牡丹江	黑龙江
101050401	jiamusi	佳木斯	佳木斯	黑龙江
101050402	tangyuan	汤原	佳木斯	黑龙江
101050403	fuyuan	抚远	佳木斯	黑龙江
101050404	huachuan	桦川	佳木斯	黑龙江
101050405	huanan	桦南	佳木斯	黑龙江
101050406	tongjiang	同江	佳木斯	黑龙江
101050407	fujin	富锦	佳木斯	黑龙江
101050501	suihua	绥化	绥化	黑龙江
101050502	zhaodong	肇东	绥化	黑龙江
101050503	anda	安达	绥化	黑龙江
101050504	hailun	海伦	绥化	黑龙江
101050505	mingshui	明水	绥化	黑龙江
101050506	wangkui	望奎	绥化	黑龙江
101050507	lanxi	兰西	绥化	黑龙江
101050508	qinggang	青冈	绥化	黑龙江
101050509	qingan	庆安	绥化	黑龙江
101050510	suiling	绥棱	绥化	黑龙江
101050601	heihe	黑河	黑河	黑龙江
101050602	nenjiang	嫩江	黑河	黑龙江
101050603	sunwu	孙吴	黑河	黑龙江
101050604	xunke	逊克	黑河	黑龙江
101050605	wudalianchi	五大连池	黑河	黑龙江
101050606	beian	北安	黑河	黑龙江
101050701	daxinganling	大兴安岭	大兴安岭	黑龙江
101050702	tahe	塔河	大兴安岭	黑龙江
101050703	mohe	漠河	大兴安岭	黑龙江
101050704	huma	呼玛	大兴安岭	黑龙江
101050705	huzhong	呼中	大兴安岭	黑龙江
101050706	xinlin	新林	大兴安岭	黑龙江
101050708	jiagedaqi	加格达奇	大兴安岭	黑龙江
101050801	yichun	伊春	伊春	黑龙江
101050802	wuyiling	乌伊岭	伊春	黑龙江
101050803	wuying	五营	伊春	黑龙江
101050804	tieli	铁力	伊春	黑龙江
101050805	jiayin	嘉荫	伊春	黑龙江
101050901	daqing	大庆	大庆	黑龙江
101050902	lindian	林甸	大庆	黑龙江
101050903	zhaozhou	肇州	大庆	黑龙江
101050904	zhaoyuan	肇源	大庆	黑龙江
101050905	duerbote	杜尔伯特	大庆	黑龙江
101051002	qitaihe	七台河	七台河	黑龙江
101051003	boli	勃利	七台河	黑龙江
101051101	jixi	鸡西	鸡西	黑龙江
101051102	hulin	虎林	鸡西	黑龙江
101051103	mishan	密山	鸡西	黑龙江
101051104	jidong	鸡东	鸡西	黑龙江
101051201	hegang	鹤岗	鹤岗	黑龙江
101051202	suibin	绥滨	鹤岗	黑龙江
101051203	luobei	萝北	鹤岗	黑龙江
101051301	shuangyashan	双鸭山	双鸭山	黑龙江
101051302	jixian	集贤	双鸭山	黑龙江
101051303	baoqing	宝清	双鸭山	黑龙江
101051304	raohe	饶河	双鸭山	黑龙江
101051305	youyi	友谊	双鸭山	黑龙江
101060101	changchun	长春	长春	吉林
101060102	nongan	农安	长春	吉林
101060103	dehui	德惠	长春	吉林
101060104	jiutai	九台	长春	吉林
101060105	yushu	榆树	长春	吉林
101060106	shuangyang	双阳	长春	吉林
101060201	jilin	吉林	吉林	吉林
101060202	shulan	舒兰	吉林	吉林
101060203	yongji	永吉	吉林	吉林
101060204	jiaohe	蛟河	吉林	吉林
101060205	panshi	磐石	吉林	吉林
101060206	huadian	桦甸	吉林	吉林
101060301	yanji	延吉	延边	吉林
101060302	dunhua	敦化	延边	吉林
101060303	antu	安图	延边	吉林
101060304	wangqing	汪清	延边	吉林
101060305	helong	和龙	延边	吉林
101060307	longjing	龙井	延边	吉林
101060308	hunchun	珲春	延边	吉林
101060309	tumen	图们	延边	吉林
101060401	siping	四平	四平	吉林
101060402	shuangliao	双辽	四平	吉林
101060403	lishu	梨树	四平	吉林
101060404	gongzhuling	公主岭	四平	吉林
101060405	yitong	伊通	四平	吉林
101060501	tonghua	通化	通化	吉林
101060502	meihekou	梅河口	通化	吉林
101060503	liuhe	柳河	通化	吉林
101060504	huinan	辉南	通化	吉林
101060505	jian	集安	通化	吉林
101060506	tonghuaxian	通化县	通化	吉林
101060601	baicheng	白城	白城	吉林
101060602	taonan	洮南	白城	吉林
101060603	daan	大安	白城	吉林
101060604	zhenlai	镇赉	白城	吉林
101060605	tongyu	通榆	白城	吉林
101060701	liaoyuan	辽源	辽源	吉林
101060702	dongfeng	东丰	辽源	吉林
101060703	dongliao	东辽	辽源	吉林
101060801	songyuan	松原	松原	吉林
101060802	qianan	乾安	松原	吉林
101060803	qianguo	前郭	松原	吉林
101060804	changling	长岭	松原	吉林
101060805	fuyu	扶余	松原	吉林
101060901	baishan	白山	白山	吉林
101060902	jingyu	靖宇	白山	吉林
101060903	linjiang	临江	白山	吉林
101060904	donggang	东岗	白山	吉林
101060905	changbai	长白	白山	吉林
101060906	fusong	抚松	白山	吉林
101060907	jiangyuan	江源	白山	吉林
101070101	shenyang	沈阳	沈阳	辽宁
101070103	liaozhong	辽中	沈阳	辽宁
101070104	kangping	康平	沈阳	辽宁
101070105	faku	法库	沈阳	辽宁
101070106	xinmin	新民	沈阳	辽宁
101070201	dalian	大连	大连	辽宁
101070202	wafangdian	瓦房店	大连	辽宁
101070203	jinzhou	金州	大连	辽宁
101070204	pulandian	普兰店	大连	辽宁
101070205	lvshun	旅顺	大连	辽宁
101070206	changhai	长海	大连	辽宁
101070207	zhuanghe	庄河	大连	辽宁
101070301	anshan	鞍山	鞍山	辽宁
101070302	taian	台安	鞍山	辽宁
101070303	xiuyan	岫岩	鞍山	辽宁
101070304	haicheng	海城	鞍山	辽宁
101070401	fushun	抚顺	抚顺	辽宁
101070402	xinbin	新宾	抚顺	辽宁
101070403	qingyuan	清原	抚顺	辽宁
101070404	zhangdang	章党	抚顺	辽宁
101070501	benxi	本溪	本溪	辽宁
101070502	benxixian	本溪县	本溪	辽宁
101070504	huanren	桓仁	本溪	辽宁
101070601	dandong	丹东	丹东	辽宁
101070602	fengcheng	凤城	丹东	辽宁
101070603	kuandian	宽甸	丹东	辽宁
101070604	donggang	东港	丹东	辽宁
101070701	jinzhou	锦州	锦州	辽宁
101070702	linghai	凌海	锦州	辽宁
101070704	yixian	义县	锦州	辽宁
101070705	heishan	黑山	锦州	辽宁
101070706	beizhen	北镇	锦州	辽宁
101070801	yingkou	营口	营口	辽宁
101070802	dashiqiao	大石桥	营口	辽宁
101070803	gaizhou	盖州	营口	辽宁
101070901	fuxin	阜新	阜新	辽宁
101070902	zhangwu	彰武	阜新	辽宁
101071001	liaoyang	辽阳	辽阳	辽宁
101071002	liaoyangxian	辽阳县	辽阳	辽宁
101071003	dengta	灯塔	辽阳	辽宁
101071004	gongchangling	弓长岭	辽阳	辽宁
101071101	tieling	铁岭	铁岭	辽宁
101071102	kaiyuan	开原	铁岭	辽宁
101071103	changtu	昌图	铁岭	辽宁
101071104	xifeng	西丰	铁岭	辽宁
101071105	tiefa	调兵山	铁岭	辽宁
101071201	chaoyang	朝阳	朝阳	辽宁
101071203	lingyuan	凌源	朝阳	辽宁
101071204	kazuo	喀左	朝阳	辽宁
101071205	beipiao	北票	朝阳	辽宁
101071207	jianpingxian	建平县	朝阳	辽宁
101071301	panjin	盘锦	盘锦	辽宁
101071302	dawa	大洼	盘锦	辽宁
101071303	panshan	盘山	盘锦	辽宁
101071401	huludao	葫芦岛	葫芦岛	辽宁
101071402	jianchang	建昌	葫芦岛	辽宁
101071403	suizhong	绥中	葫芦岛	辽宁
101071404	xingcheng	兴城	葫芦岛	辽宁
101080101	huhehaote	呼和浩特	呼和浩特	内蒙古
101080102	tuzuoqi	土左旗	呼和浩特	内蒙古
101080103	tuoxian	托县	呼和浩特	内蒙古
101080104	helin	和林	呼和浩特	内蒙古
101080105	qingshuihe	清水河	呼和浩特	内蒙古
101080106	hushijiaoqu	呼市郊区	呼和浩特	内蒙古
101080107	wuchuan	武川	呼和浩特	内蒙古
101080201	baotou	包头	包头	内蒙古
101080202	baiyunebo	白云鄂博	包头	内蒙古
101080203	mandula	满都拉	包头	内蒙古
101080204	tuyouqi	土右旗	包头	内蒙古
101080205	guyang	固阳	包头	内蒙古
101080206	damaoqi	达茂旗	包头	内蒙古
101080207	xilamuren	希拉穆仁	包头	内蒙古
101080301	wuhai	乌海	乌海	内蒙古
101080401	jining	集宁	乌兰察布	内蒙古
101080402	zhuozi	卓资	乌兰察布	内蒙古
101080403	huade	化德	乌兰察布	内蒙古
101080404	shangdu	商都	乌兰察布	内蒙古
101080406	xinghe	兴和	乌兰察布	内蒙古
101080407	liangcheng	凉城	乌兰察布	内蒙古
101080408	chayouqianqi	察右前旗	乌兰察布	内蒙古
101080409	chayouzhongqi	察右中旗	乌兰察布	内蒙古
101080410	chayouhouqi	察右后旗	乌兰察布	内蒙古
101080411	siziwangqi	四子王旗	乌兰察布	内蒙古
101080412	fengzhen	丰镇	乌兰察布	内蒙古
101080501	tongliao	通辽	通辽	内蒙古
101080502	shebotu	舍伯吐	通辽	内蒙古
101080503	kezuozhongqi	科左中旗	通辽	内蒙古
101080504	kezuohouqi	科左后旗	通辽	内蒙古
101080505	qinglongshan	青龙山	通辽	内蒙古
101080506	kailu	开鲁	通辽	内蒙古
101080507	kulun	库伦	通辽	内蒙古
101080508	naiman	奈曼	通辽	内蒙古
101080509	zhalute	扎鲁特	通辽	内蒙古
101080510	gaoliban	高力板	兴安盟	内蒙古
101080511	bayaertuhushuo	巴雅尔吐胡硕	通辽	内蒙古
101080601	chifeng	赤峰	赤峰	内蒙古
101080603	aluqi	阿鲁旗	赤峰	内蒙古
101080604	haoertu	浩尔吐	赤峰	内蒙古
101080605	balinzuoqi	巴林左旗	赤峰	内蒙古
101080606	balinyouqi	巴林右旗	赤峰	内蒙古
101080607	linxi	林西	赤峰	内蒙古
101080608	keshiketeng	克什克腾	赤峰	内蒙古
101080609	wengniute	翁牛特	赤峰	内蒙古
101080610	gangzi	岗子	赤峰	内蒙古
101080611	kalaqin	喀喇沁	赤峰	内蒙古
101080612	balihan	八里罕	赤峰	内蒙古
101080613	ningcheng	宁城	赤峰	内蒙古
101080614	aohan	敖汉	赤峰	内蒙古
101080615	baoguotu	宝国吐	赤峰	内蒙古
101080701	eerduosi	鄂尔多斯	鄂尔多斯	内蒙古
101080703	dalate	达拉特	鄂尔多斯	内蒙古
101080704	zhungeer	准格尔	鄂尔多斯	内蒙古
101080705	eqianqi	鄂前旗	鄂尔多斯	内蒙古
101080706	henan	河南	鄂尔多斯	内蒙古
101080707	yikewusu	伊克乌素	鄂尔多斯	内蒙古
101080708	etuoke	鄂托克	鄂尔多斯	内蒙古
101080709	hangjinqi	杭锦旗	鄂尔多斯	内蒙古
101080710	wushenqi	乌审旗	鄂尔多斯	内蒙古
101080711	yijinhuoluo	伊金霍洛	鄂尔多斯	内蒙古
101080712	wushenzhao	乌审召	鄂尔多斯	内蒙古
101080713	dongsheng	东胜	鄂尔多斯	内蒙古
101080801	linhe	临河	巴彦淖尔	内蒙古
101080802	wuyuan	五原	巴彦淖尔	内蒙古
101080803	dengkou	磴口	巴彦淖尔	内蒙古
101080804	wuqianqi	乌前旗	巴彦淖尔	内蒙古
101080805	dashetai	大佘太	巴彦淖尔	内蒙古
101080806	wuzhongqi	乌中旗	巴彦淖尔	内蒙古
101080807	wuhouqi	乌后旗	巴彦淖尔	内蒙古
101080808	hailisu	海力素	巴彦淖尔	内蒙古
101080809	narenbaolige	那仁宝力格	巴彦淖尔	内蒙古
101080810	hangjinhouqi	杭锦后旗	巴彦淖尔	内蒙古
101080901	xilinhaote	锡林浩特	锡林郭勒	内蒙古
101080903	erlianhaote	二连浩特	锡林郭勒	内蒙古
101080904	abaga	阿巴嘎	锡林郭勒	内蒙古
101080906	suzuoqi	苏左旗	锡林郭勒	内蒙古
101080907	suyouqi	苏右旗	锡林郭勒	内蒙古
101080908	zhurihe	朱日和	锡林郭勒	内蒙古
101080909	dongwuqi	东乌旗	锡林郭勒	内蒙古
101080910	xiwuqi	西乌旗	锡林郭勒	内蒙古
101080911	taipusiqi	太仆寺	锡林郭勒	内蒙古
101080912	xianghuang	镶黄旗	锡林郭勒	内蒙古
101080913	zhengxiangbaiqi	正镶白旗	锡林郭勒	内蒙古
101080914	zhenglanqi	正蓝旗	锡林郭勒	内蒙古
101080915	duolun	多伦	锡林郭勒	内蒙古
101080916	boketu	博克图	锡林郭勒	内蒙古
101080917	wulagai	乌拉盖	锡林郭勒	内蒙古
101081001	hailaer	海拉尔	呼伦贝尔	内蒙古
101081002	xiaoergou	小二沟	呼伦贝尔	内蒙古
101081003	arongqi	阿荣旗	呼伦贝尔	内蒙古
101081004	molidawa	莫力达瓦	呼伦贝尔	内蒙古
101081005	elunchunqi	鄂伦春旗	呼伦贝尔	内蒙古
101081006	ewenkeqi	鄂温克旗	呼伦贝尔	内蒙古
101081007	chenqi	陈旗	呼伦贝尔	内蒙古
101081008	xinzuoqi	新左旗	呼伦贝尔	内蒙古
101081009	xinyouqi	新右旗	呼伦贝尔	内蒙古
101081010	manzhouli	满洲里	呼伦贝尔	内蒙古
101081011	yakeshi	牙克石	呼伦贝尔	内蒙古
101081012	zhalantun	扎兰屯	呼伦贝尔	内蒙古
101081014	eerguna	额尔古纳	呼伦贝尔	内蒙古
101081015	genhe	根河	呼伦贝尔	内蒙古
101081016	tulihe	图里河	呼伦贝尔	内蒙古
101081101	wulanhaote	乌兰浩特	兴安盟	内蒙古
101081102	aershan	阿尔山	兴安盟	内蒙古
101081103	keyouzhongqi	科右中旗	兴安盟	内蒙古
101081104	huerle	胡尔勒	兴安盟	内蒙古
101081105	zhanlaite	扎赉特	兴安盟	内蒙古
101081106	suolun	索伦	兴安盟	内蒙古
101081107	tuquan	突泉	兴安盟	内蒙古
101081108	huolinguole	霍林郭勒	通辽	内蒙古
101081109	keyouqianqi	科右前旗	兴安盟	内蒙古
101081201	azuoqi	阿左旗	阿拉善盟	内蒙古
101081202	ayouqi	阿右旗	阿拉善盟	内蒙古
101081203	ejina	额济纳	阿拉善盟	内蒙古
101081204	guanzihu	拐子湖	阿拉善盟	内蒙古
101081205	jilantai	吉兰太	阿拉善盟	内蒙古
101081206	xilingaole	锡林高勒	阿拉善盟	内蒙古
101081207	toudaohu	头道湖	阿拉善盟	内蒙古
101081208	zhongquanzi	中泉子	阿拉善盟	内蒙古
101081209	nuoergong	诺尔公	阿拉善盟	内蒙古
101081210	yabulai	雅布赖	阿拉善盟	内蒙古
101081211	wusitai	乌斯泰	阿拉善盟	内蒙古
101081212	luanjingtan	孪井滩	阿拉善盟	内蒙古
101090101	shijiazhuang	石家庄	石家庄	河北
101090102	jingxing	井陉	石家庄	河北
101090103	zhengding	正定	石家庄	河北
101090104	luancheng	栾城	石家庄	河北
101090105	xingtang	行唐	石家庄	河北
101090106	lingshou	灵寿	石家庄	河北
101090107	gaoyi	高邑	石家庄	河北
101090108	shenze	深泽	石家庄	河北
101090109	zanhuang	赞皇	石家庄	河北
101090110	wuji	无极	石家庄	河北
101090111	pingshan	平山	石家庄	河北
101090112	yuanshi	元氏	石家庄	河北
101090113	zhaoxian	赵县	石家庄	河北
101090114	xinji	辛集	石家庄	河北
101090115	gaocheng	藁城	石家庄	河北
101090116	jinzhou	晋州	石家庄	河北
101090117	xinle	新乐	石家庄	河北
101090118	luquan	鹿泉	石家庄	河北
101090201	baoding	保定	保定	河北
101090202	mancheng	满城	保定	河北
101090203	fuping	阜平	保定	河北
101090204	xushui	徐水	保定	河北
101090205	tangxian	唐县	保定	河北
101090206	gaoyang	高阳	保定	河北
101090207	rongcheng	容城	保定	河北
101090209	laiyuan	涞源	保定	河北
101090210	wangdu	望都	保定	河北
101090211	anxin	安新	保定	河北
101090212	yixian	易县	保定	河北
101090214	quyang	曲阳	保定	河北
101090215	lixian	蠡县	保定	河北
101090216	shunping	顺平	保定	河北
101090217	xiongxian	雄县	保定	河北
101090218	zhuozhou	涿州	保定	河北
101090219	dingzhou	定州	保定	河北
101090220	anguo	安国	保定	河北
101090221	gaobeidian	高碑店	保定	河北
101090222	laishui	涞水	保定	河北
101090223	dingxing	定兴	保定	河北
101090224	qingyuan	清苑	保定	河北
101090225	boye	博野	保定	河北
101090301	zhangjiakou	张家口	张家口	河北
101090302	xuanhua	宣化	张家口	河北
101090303	zhangbei	张北	张家口	河北
101090304	kangbao	康保	张家口	河北
101090305	guyuan	沽源	张家口	河北
101090306	shangyi	尚义	张家口	河北
101090307	yuxian	蔚县	张家口	河北
101090308	yangyuan	阳原	张家口	河北
101090309	huaian	怀安	张家口	河北
101090310	wanquan	万全	张家口	河北
101090311	huailai	怀来	张家口	河北
101090312	zhuolu	涿鹿	张家口	河北
101090313	chicheng	赤城	张家口	河北
101090314	chongli	崇礼	张家口	河北
101090402	chengde	承德	承德	河北
101090403	chengdexian	承德县	承德	河北
101090404	xinglong	兴隆	承德	河北
101090405	pingquan	平泉	承德	河北
101090406	luanping	滦平	承德	河北
101090407	longhua	隆化	承德	河北
101090408	fengning	丰宁	承德	河北
101090409	kuancheng	宽城	承德	河北
101090410	weichang	围场	承德	河北
101090501	tangshan	唐山	唐山	河北
101090502	fengnan	丰南	唐山	河北
101090503	fengrun	丰润	唐山	河北
101090504	luanxian	滦县	唐山	河北
101090505	luannan	滦南	唐山	河北
101090506	leting	乐亭	唐山	河北
101090507	qianxi	迁西	唐山	河北
101090508	yutian	玉田	唐山	河北
101090509	tanghai	唐海	唐山	河北
101090510	zunhua	遵化	唐山	河北
101090511	qianan	迁安	唐山	河北
101090512	caofeidian	曹妃甸	唐山	河北
101090601	langfang	廊坊	廊坊	河北
101090602	guan	固安	廊坊	河北
101090603	yongqing	永清	廊坊	河北
101090604	xianghe	香河	廊坊	河北
101090605	dacheng	大城	廊坊	河北
101090606	wenan	文安	廊坊	河北
101090607	dachang	大厂	廊坊	河北
101090608	bazhou	霸州	廊坊	河北
101090609	sanhe	三河	廊坊	河北
101090701	cangzhou	沧州	沧州	河北
101090702	qingxian	青县	沧州	河北
101090703	dongguang	东光	沧州	河北
101090704	haixing	海兴	沧州	河北
101090705	yanshan	盐山	沧州	河北
101090706	suning	肃宁	沧州	河北
101090707	nanpi	南皮	沧州	河北
101090708	wuqiao	吴桥	沧州	河北
101090709	xianxian	献县	沧州	河北
101090710	mengcun	孟村	沧州	河北
101090711	botou	泊头	沧州	河北
101090712	renqiu	任丘	沧州	河北
101090713	huanghua	黄骅	沧州	河北
101090714	hejian	河间	沧州	河北
101090716	cangxian	沧县	沧州	河北
101090801	hengshui	衡水	衡水	河北
101090802	zaoqiang	枣强	衡水	河北
101090803	wuyi	武邑	衡水	河北
101090804	wuqiang	武强	衡水	河北
101090805	raoyang	饶阳	衡水	河北
101090806	anping	安平	衡水	河北
101090807	gucheng	故城	衡水	河北
101090808	jingxian	景县	衡水	河北
101090809	fucheng	阜城	衡水	河北
101090810	jizhou	冀州	衡水	河北
101090811	shenzhou	深州	衡水	河北
101090901	xingtai	邢台	邢台	河北
101090902	lincheng	临城	邢台	河北
101090904	neiqiu	内丘	邢台	河北
101090905	baixiang	柏乡	邢台	河北
101090906	longyao	隆尧	邢台	河北
101090907	nanhe	南和	邢台	河北
101090908	ningjin	宁晋	邢台	河北
101090909	julu	巨鹿	邢台	河北
101090910	xinhe	新河	邢台	河北
101090911	guangzong	广宗	邢台	河北
101090912	pingxiang	平乡	邢台	河北
101090913	weixian	威县	邢台	河北
101090914	qinghe	清河	邢台	河北
101090915	linxi	临西	邢台	河北
101090916	nangong	南宫	邢台	河北
101090917	shahe	沙河	邢台	河北
101090918	renxian	任县	邢台	河北
101091001	handan	邯郸	邯郸	河北
101091002	fengfeng	峰峰	邯郸	河北
101091003	linzhang	临漳	邯郸	河北
101091004	chengan	成安	邯郸	河北
101091005	daming	大名	邯郸	河北
101091006	shexian	涉县	邯郸	河北
101091007	cixian	磁县	邯郸	河北
101091008	feixiang	肥乡	邯郸	河北
101091009	yongnian	永年	邯郸	河北
101091010	qiuxian	邱县	邯郸	河北
101091011	jize	鸡泽	邯郸	河北
101091012	guangping	广平	邯郸	河北
101091013	guantao	馆陶	邯郸	河北
101091014	weixian	魏县	邯郸	河北
101091015	quzhou	曲周	邯郸	河北
101091016	wuan	武安	邯郸	河北
101091101	qinhuangdao	秦皇岛	秦皇岛	河北
101091102	qinglong	青龙	秦皇岛	河北
101091103	changli	昌黎	秦皇岛	河北
101091104	funing	抚宁	秦皇岛	河北
101091105	lulong	卢龙	秦皇岛	河北
101091106	beidaihe	北戴河	秦皇岛	河北
101100101	taiyuan	太原	太原	山西
101100102	qingxu	清徐	太原	山西
101100103	yangqu	阳曲	太原	山西
101100104	loufan	娄烦	太原	山西
101100105	gujiao	古交	太原	山西
101100106	jiancaopingqu	尖草坪区	太原	山西
101100107	xiaodianqu	小店区	太原	山西
101100201	datong	大同	大同	山西
101100202	yanggao	阳高	大同	山西
101100203	datongxian	大同县	大同	山西
101100204	tianzhen	天镇	大同	山西
101100205	guangling	广灵	大同	山西
101100206	lingqiu	灵丘	大同	山西
101100207	hunyuan	浑源	大同	山西
101100208	zuoyun	左云	大同	山西
101100301	yangquan	阳泉	阳泉	山西
101100302	yuxian	盂县	阳泉	山西
101100303	pingding	平定	阳泉	山西
101100401	jinzhong	晋中	晋中	山西
101100402	yuci	榆次	晋中	山西
101100403	yushe	榆社	晋中	山西
101100404	zuoquan	左权	晋中	山西
101100405	heshun	和顺	晋中	山西
101100406	xiyang	昔阳	晋中	山西
101100407	shouyang	寿阳	晋中	山西
101100408	taigu	太谷	晋中	山西
101100409	qixian	祁县	晋中	山西
101100410	pingyao	平遥	晋中	山西
101100411	lingshi	灵石	晋中	山西
101100412	jiexiu	介休	晋中	山西
101100501	changzhi	长治	长治	山西
101100502	licheng	黎城	长治	山西
101100503	tunliu	屯留	长治	山西
101100504	lucheng	潞城	长治	山西
101100505	xiangyuan	襄垣	长治	山西
101100506	pingshun	平顺	长治	山西
101100507	wuxiang	武乡	长治	山西
101100508	qinxian	沁县	长治	山西
101100509	zhangzi	长子	长治	山西
101100510	qinyuan	沁源	长治	山西
101100511	huguan	壶关	长治	山西
101100601	jincheng	晋城	晋城	山西
101100602	qinshui	沁水	晋城	山西
101100603	yangcheng	阳城	晋城	山西
101100604	lingchuan	陵川	晋城	山西
101100605	gaoping	高平	晋城	山西
101100606	zezhou	泽州	晋城	山西
101100701	linfen	临汾	临汾	山西
101100702	quwo	曲沃	临汾	山西
101100703	yonghe	永和	临汾	山西
101100704	xixian	隰县	临汾	山西
101100705	daning	大宁	临汾	山西
101100706	jixian	吉县	临汾	山西
101100707	xiangfen	襄汾	临汾	山西
101100708	puxian	蒲县	临汾	山西
101100709	fenxi	汾西	临汾	山西
101100710	hongtong	洪洞	临汾	山西
101100711	huozhou	霍州	临汾	山西
101100712	xiangning	乡宁	临汾	山西
101100713	yicheng	翼城	临汾	山西
101100714	houma	侯马	临汾	山西
101100715	fushan	浮山	临汾	山西
101100716	anze	安泽	临汾	山西
101100717	guxian	古县	临汾	山西
101100801	yuncheng	运城	运城	山西
101100802	linyi	临猗	运城	山西
101100803	jishan	稷山	运城	山西
101100804	wanrong	万荣	运城	山西
101100805	hejin	河津	运城	山西
101100806	xinjiang	新绛	运城	山西
101100807	jiangxian	绛县	运城	山西
101100808	wenxi	闻喜	运城	山西
101100809	yuanqu	垣曲	运城	山西
101100810	yongji	永济	运城	山西
101100811	ruicheng	芮城	运城	山西
101100812	xiaxian	夏县	运城	山西
101100813	pinglu	平陆	运城	山西
